-5.1347,-4.9277,22.271,29.895,42.993,22.433,8.1301,8.3565,11.197
-5.2618,-4.889,21.839,29.032,42.283,25.015,8.4361,8.192,10.909
-5.4139,-4.8635,21.434,28.223,41.321,27.749,8.8389,8.0428,10.63
-5.5912,-4.8549,21.057,27.464,40.186,30.555,9.3553,7.9103,10.36
-5.7938,-4.8658,20.708,26.75,38.948,33.311,10.004,7.7972,10.098
-6.0216,-4.8983,20.387,26.076,37.668,35.903,10.806,7.7066,9.8458
-6.2745,-4.9535,20.096,25.44,36.396,38.23,11.785,7.6422,9.6024
-6.5529,-5.0322,19.837,24.837,35.16,40.2,12.965,7.6088,9.3683
-6.857,-5.1347,19.612,24.267,33.976,41.733,14.367,7.6118,9.1439
-7.1867,-5.2618,19.423,23.726,32.855,42.768,16.007,7.6571,8.9299
-7.5416,-5.4139,19.271,23.214,31.803,43.301,17.902,7.7521,8.7267
-7.921,-5.5912,19.161,22.729,30.817,43.358,20.05,7.9062,8.5352
-8.3236,-5.7938,19.093,22.271,29.895,42.993,22.433,8.1301,8.3565
-8.7487,-6.0216,19.073,21.839,29.032,42.283,25.015,8.4361,8.192
-9.195,-6.2745,19.103,21.434,28.223,41.321,27.749,8.8389,8.0428
-9.6606,-6.5529,19.189,21.057,27.464,40.186,30.555,9.3553,7.9103
-10.142,-6.857,19.333,20.708,26.75,38.948,33.311,10.004,7.7972
-10.636,-7.1867,19.54,20.387,26.076,37.668,35.903,10.806,7.7066
-11.137,-7.5416,19.812,20.096,25.44,36.396,38.23,11.785,7.6422
-11.64,-7.921,20.155,19.837,24.837,35.16,40.2,12.965,7.6088
-12.139,-8.3236,20.568,19.612,24.267,33.976,41.733,14.367,7.6118
-12.626,-8.7487,21.056,19.423,23.726,32.855,42.768,16.007,7.6571
-13.089,-9.195,21.621,19.271,23.214,31.803,43.301,17.902,7.7521
-13.517,-9.6606,22.265,19.161,22.729,30.817,43.358,20.05,7.9062
-13.896,-10.142,22.985,19.093,22.271,29.895,42.993,22.433,8.1301
-14.217,-10.636,23.778,19.073,21.839,29.032,42.283,25.015,8.4361
-14.467,-11.137,24.635,19.103,21.434,28.223,41.321,27.749,8.8389
-14.635,-11.64,25.547,19.189,21.057,27.464,40.186,30.555,9.3553
-14.709,-12.139,26.499,19.333,20.708,26.75,38.948,33.311,10.004
-14.68,-12.626,27.475,19.54,20.387,26.076,37.668,35.903,10.806
-14.537,-13.089,28.46,19.812,20.096,25.44,36.396,38.23,11.785
-14.278,-13.517,29.433,20.155,19.837,24.837,35.16,40.2,12.965
-13.904,-13.896,30.369,20.568,19.612,24.267,33.976,41.733,14.367
-13.42,-14.217,31.247,21.056,19.423,23.726,32.855,42.768,16.007
